x_lan,y_lai,year,table,Tmax_DJF,Tmax_MAM,Tmax_JJA,Tmax_SON,Tmin_DJF,Tmin_MAM,Tmin_JJA,Tmin_SON,Tave_DJF,Tave_MAM,Tave_JJA,Tave_SON,PPT_DJF,PPT_MAM,PPT_JJA,PPT_SON,DD<0_DJF,DD<0_MAM,DD<0_JJA,DD<0_SON,DD>5_DJF,DD>5_MAM,DD>5_JJA,DD>5_SON,DD<18_DJF,DD<18_MAM,DD<18_JJA,DD<18_SON,DD>18_DJF,DD>18_MAM,DD>18_JJA,DD>18_SON,NFFD_DJF,NFFD_MAM,NFFD_JJA,NFFD_SON,PAS_DJF,PAS_MAM,PAS_JJA,PAS_SON,Eref_DJF,Eref_MAM,Eref_JJA,Eref_SON,CMD_DJF,CMD_MAM,CMD_JJA,CMD_SON
42.146755999999996,127.579518,year_1902,Seasonal_Variables, -7.5, 11.4, 24, 13.1, -21.2, -2, 13, 0.1, -14.4, 4.7, 18.5, 6.6, 34, 140, 460, 171, 1178, 118, 0, 75, 0, 258, 1234, 355, 2770, 1222, 91, 1034, 0, 1, 136, 6, 0, 38, 91, 46, 31, 20, 0, 14, 0, 192, 373, 138, 0, 67, 20, 6
42.249140999999995,127.698043,year_1902,Seasonal_Variables, -8.6, 9.1, 21.9, 11.4, -20.8, -2.7, 11.6, -0.4, -14.7, 3.2, 16.8, 5.5, 34, 141, 464, 179, 1198, 158, 0, 95, 0, 191, 1078, 285, 2795, 1351, 168, 1133, 0, 0, 66, 3, 0, 35, 91, 44, 31, 27, 1, 18, 0, 169, 343, 124, 0, 42, 8, 0
42.327611,127.77016699999999,year_1902,Seasonal_Variables, -8.7, 8.7, 21.4, 11, -21.4, -3.3, 11.1, -1.1, -15.1, 2.7, 16.2, 5, 34, 143, 483, 188, 1233, 165, 0, 106, 0, 167, 1029, 263, 2831, 1401, 201, 1174, 0, 0, 51, 2, 0, 32, 91, 41, 31, 31, 1, 21, 0, 166, 339, 122, 0, 37, 3, 0
42.232539,127.77256000000001,year_1902,Seasonal_Variables, -8.6, 9.1, 21.8, 11.3, -20.8, -2.7, 11.6, -0.5, -14.7, 3.2, 16.7, 5.4, 34, 142, 475, 185, 1197, 159, 0, 95, 0, 190, 1074, 283, 2795, 1354, 171, 1136, 0, 0, 65, 3, 0, 35, 91, 44, 31, 27, 1, 19, 0, 168, 342, 124, 0, 41, 6, 0
46.42093,130.663154,year_1902,Seasonal_Variables, -11.9, 9.8, 24, 10.8, -23.4, -3.4, 13.1, -0.9, -17.6, 3.2, 18.5, 4.9, 7, 96, 335, 169, 1479, 172, 0, 175, 0, 207, 1236, 342, 3080, 1351, 90, 1179, 0, 1, 138, 8, 0, 34, 91, 42, 6, 9, 0, 7, 0, 171, 357, 115, 0, 79, 54, 0
41.956013,127.58660900000001,year_1902,Seasonal_Variables, -8.6, 8.8, 21.6, 11.1, -20.6, -2.7, 11.5, -0.5, -14.6, 3.1, 16.6, 5.3, 35, 143, 472, 172, 1192, 163, 0, 98, 0, 185, 1060, 275, 2789, 1367, 180, 1148, 0, 0, 60, 3, 0, 35, 91, 44, 33, 30, 1, 20, 0, 167, 340, 123, 0, 40, 5, 1
46.000527000000005,131.462077,year_1902,Seasonal_Variables, -11.1, 9.9, 23.8, 11.2, -21.5, -2.4, 13.1, -0.3, -16.3, 3.8, 18.5, 5.5, 12, 104, 349, 209, 1362, 146, 0, 140, 0, 216, 1233, 346, 2961, 1302, 90, 1133, 0, 1, 135, 8, 0, 37, 91, 45, 9, 9, 0, 8, 0, 168, 356, 115, 0, 68, 57, 0
45.278046,130.284033,year_1902,Seasonal_Variables, -10.1, 10.3, 23.9, 11.8, -23.7, -3.9, 12.4, -1.3, -16.9, 3.2, 18.1, 5.2, 13, 91, 308, 162, 1411, 160, 0, 152, 0, 200, 1203, 337, 3011, 1347, 103, 1156, 0, 0, 120, 7, 0, 30, 91, 40, 9, 8, 0, 8, 0, 179, 368, 125, 0, 91, 76, 0
42.200489000000005,127.594757,year_1902,Seasonal_Variables, -8.4, 9.4, 22.2, 11.6, -20.6, -2.4, 11.9, -0.2, -14.5, 3.5, 17.1, 5.7, 34, 139, 456, 171, 1184, 151, 0, 89, 0, 204, 1104, 297, 2782, 1323, 153, 1111, 0, 0, 75, 4, 0, 36, 91, 45, 31, 25, 1, 17, 0, 171, 347, 126, 0, 47, 11, 2
44.346497,129.55855400000002,year_1902,Seasonal_Variables, -9.3, 11.1, 24.2, 12.5, -22.6, -2.8, 13.1, -0.2, -15.9, 4.2, 18.6, 6.1, 16, 94, 279, 183, 1320, 137, 0, 112, 0, 235, 1245, 367, 2920, 1267, 86, 1074, 0, 1, 143, 9, 0, 35, 91, 44, 11, 6, 0, 7, 0, 185, 369, 129, 0, 94, 91, 0
